SentID,Original_Sentence,Reference_Output,Output,Roman_Script
HL0006_EN_5,"Meat, sugar, strong tea or coffee, condiments, pickles, refined and processed foods should all be avoided, as also soft drinks, candies, ice cream and products made with sugar and white flour.","मांस, साखर, कडक चहा किंवा कॉफी, मसालेदार तोंडीलावणी, लोणची, अति शिजवलेले आणि प्रक्रिया केलेले असे सर्व अन्नपदार्थ टाळले पाहिजेत, तसेच शीतपेये, कॅंडीज्, आईस्क्रीम आणि साखर व मैद्यापासून बनविलेले पदार्थ सुद्धा.","Mānsa, sākhara, kaḍaka cahā kinvā kŏphī, masālēdāra tōṇḍīlāvaṇī, lōṇacī, ati śijavalēlē āṇi prakriyā kēlēlē asē sarva annapadārtha ṭāḷalē pāhijēta, tasēca śītapēyē, kĕṇḍīj, ā'īskrīma āṇi sākhara va maidyāpāsūna banavilēlē padārtha sud'dhā.","Mānsa, sākhara, kaḍaka cahā kinvā kŏphī, masālēdāra tōṇḍīlāvaṇī, lōṇacī, ati śijavalēlē āṇi prakriyā kēlēlē asē sarva annapadārtha ṭāḷalē pāhijēta, tasēca śītapēyē, kĕṇḍīj, ā'īskrīma āṇi sākhara va maidyāpāsūna banavilēlē padārtha sud'dhā."
HL0006_EN_6,"Two vitamins, namely, niacin and vitamin A, have been used successfully to treat acne.","निऍसिन व जीवनसत्त्व अ, या नावांची दोन जीवनसत्त्वे, मुरुमांवरील उपचारांकरीता यशस्वीपणे वापरण्यात येतात.","Ni'ĕsina va jīvanasattva a, yā nāvān̄cī dōna jīvanasattvē, murumānvarīla upacārāṅkarītā yaśasvīpaṇē vāparaṇyāta yētāta.","Ni'ĕsina va jīvanasattva a, yā nāvān̄cī dōna jīvanasattvē, murumānvarīla upacārāṅkarītā yaśasvīpaṇē vāparaṇyāta yētāta."
HL0006_EN_7,Vitamin E is also vitally important for preventing scarring from acne and in removing old scars.,जीवनसत्त्व ई सुद्धा मुरुमांमुळे पडणार्‍या डागांच्या आणि जुन्या व्रणांच्या प्रतिबंधासाठी अतिशय महत्त्वाचे आहे.,Jīvanasattva ī sud'dhā murumāmmuḷē paḍaṇār‍yā ḍāgān̄cyā āṇi jun'yā vraṇān̄cyā pratibandhāsāṭhī atiśaya mahattvācē āhē.,Jīvanasattva ī sud'dhā murumāmmuḷē paḍaṇār‍yā ḍāgān̄cyā āṇi jun'yā vraṇān̄cyā pratibandhāsāṭhī atiśaya mahattvācē āhē.
HL0006_EN_8,"For local treatment, hot fomentation should be applied to open up the pores and squeeze out the waste matter.","अंगीय उपचारांकरीता, छिद्रे उघडण्यासाठी गरम वाफारा घेतला पाहिजे आणि आतील टाकाऊ द्रव्य पिळून टाकले पाहिजे.","Aṅgīya upacārāṅkarītā, chidrē ughaḍaṇyāsāṭhī garama vāphārā ghētalā pāhijē āṇi ātīla ṭākā'ū dravya piḷūna ṭākalē pāhijē.","Aṅgīya upacārāṅkarītā, chidrē ughaḍaṇyāsāṭhī garama vāphārā ghētalā pāhijē āṇi ātīla ṭākā'ū dravya piḷūna ṭākalē pāhijē."
HL0006_EN_9,Then rinse with cold water.,नंतर थंड पाण्याने धुवावे.,Nantara thaṇḍa pāṇyānē dhuvāvē.,Nantara thaṇḍa pāṇyānē dhuvāvē.
HL0006_EN_10,"Sun and air baths, by exposing the whole body to sun and air, are highly beneficial.",सूर्यप्रकाशात व हवेमधे संपूर्ण शरीर उघडे टाकून घेतलेले सूर्य व हवेचे स्नान अतिशय फायदेशीर असते.,Sūryaprakāśāta va havēmadhē sampūrṇa śarīra ughaḍē ṭākūna ghētalēlē sūrya va havēcē snāna atiśaya phāyadēśīra asatē.,Sūryaprakāśāta va havēmadhē sampūrṇa śarīra ughaḍē ṭākūna ghētalēlē sūrya va havēcē snāna atiśaya phāyadēśīra asatē.
HL0006_EN_11,Washing the affected area with lemon juice has also proved helpful.,बाधित भाग लिंबाच्या रसाने धुणे सुद्धा उपायकारक सिद्ध झाले आहे.,Bādhita bhāga limbācyā rasānē dhuṇē sud'dhā upāyakāraka sid'dha jhālē āhē.,Bādhita bhāga limbācyā rasānē dhuṇē sud'dhā upāyakāraka sid'dha jhālē āhē.
HL0006_EN_12,"Healing packs made of grated cucumbers, oatmeal cooked in milk, creamed carrots, used externally, have been found effective.","किसलेली काकडी, दुधात शिजवलेले ओटचे पीठ, साय आणि गाजर ह्यांपासून बनवलेले शामक लेप बाहेरुन लावणे परिणामकारक ठरते.","Kisalēlī kākaḍī, dudhāta śijavalēlē ōṭacē pīṭha, sāya āṇi gājara hyāmpāsūna banavalēlē śāmaka lēpa bāhēruna lāvaṇē pariṇāmakāraka ṭharatē.","Kisalēlī kākaḍī, dudhāta śijavalēlē ōṭacē pīṭha, sāya āṇi gājara hyāmpāsūna banavalēlē śāmaka lēpa bāhēruna lāvaṇē pariṇāmakāraka ṭharatē."
HL0006_EN_13,Packs should be applied and kept on for half an hour and then washed off with cold water.,लेप लावून अर्धा तास ठेवले पाहिजेत आणि नंतर थंड पाण्याने धुवून टाकावेत.,Lēpa lāvūna ardhā tāsa ṭhēvalē pāhijēta āṇi nantara thaṇḍa pāṇyānē dhuvūna ṭākāvēta.,Lēpa lāvūna ardhā tāsa ṭhēvalē pāhijēta āṇi nantara thaṇḍa pāṇyānē dhuvūna ṭākāvēta.
HL0006_EN_14,A hot Epsom salt bath twice a week will be highly beneficial in all cases of acne.,मुरुमांच्या सर्व प्रकारांकरीता आठवड्यातून दोनदा गरम पाण्यात एप्सम सॉल्ट टाकून केलेले स्नान खूपच फायदेशीर ठरेल.,Murumān̄cyā sarva prakārāṅkarītā āṭhavaḍyātūna dōnadā garama pāṇyāta ēpsama sŏlṭa ṭākūna kēlēlē snāna khūpaca phāyadēśīra ṭharēla.,Murumān̄cyā sarva prakārāṅkarītā āṭhavaḍyātūna dōnadā garama pāṇyāta ēpsama sŏlṭa ṭākūna kēlēlē snāna khūpaca phāyadēśīra ṭharēla.
HL0006_EN_15,This bath is prepared by adding three lbs. of Epsom salt to 60 litres of water having a temperature of about 100oF. The patient should remain in the bath from 25 to 35 minutes till he perspires freely.,१०० अंश फॅरनहाइट तापमान असलेल्या ६० लिटर पाण्यामधे तीन पौंड एप्सम सॉल्ट घालून हे स्नान घेतले जाते. रुग्णाला घाम येऊन मोकळे वाटेपर्यंत २५ ते ३० मिनिटे हे स्नान केले पाहिजे.,100 Anśa phĕranahā'iṭa tāpamāna asalēlyā 60 liṭara pāṇyāmadhē tīna pauṇḍa ēpsama sŏlṭa ghālūna hē snāna ghētalē jātē. Rugṇālā ghāma yē'ūna mōkaḷē vāṭēparyanta 25 tē 30 miniṭē hē snāna kēlē pāhijē.,100 Anśa phĕranahā'iṭa tāpamāna asalēlyā 60 liṭara pāṇyāmadhē tīna pauṇḍa ēpsama sŏlṭa ghālūna hē snāna ghētalē jātē. Rugṇālā ghāma yē'ūna mōkaḷē vāṭēparyanta 25 tē 30 miniṭē hē snāna kēlē pāhijē.
HL0006_EN_16,"After the bath, the patient should cool off gradually.",स्नानानंतर रुग्ण हळूहळू थंड झाला पाहिजे.,Snānānantara rugṇa haḷūhaḷū thaṇḍa jhālā pāhijē.,Snānānantara rugṇa haḷūhaḷū thaṇḍa jhālā pāhijē.
HL0006_EN_17,The World Health Organisation has listed alcoholism as one of the three most deadly killer diseases of the 20th century.,जागतिक आरोग्य संघटनेने मदिराधीनतेची गणना २०व्या शतकातील तीन सर्वात धोकादायक रोगांपैकी एकामधे केली आहे.,Jāgatika ārōgya saṅghaṭanēnē madirādhīnatēcī gaṇanā 20vyā śatakātīla tīna sarvāta dhōkādāyaka rōgāmpaikī ēkāmadhē kēlī āhē.,Jāgatika ārōgya saṅghaṭanēnē madirādhīnatēcī gaṇanā 20vyā śatakātīla tīna sarvāta dhōkādāyaka rōgāmpaikī ēkāmadhē kēlī āhē.
HL0006_EN_18,Alcoholism is also a very serious social problem.,मदिराधीनता हा अतिशय गंभीर सामाजिक प्रश्न सुद्धा आहे.,Madirādhīnatā hā atiśaya gambhīra sāmājika praśna sud'dhā āhē.,Madirādhīnatā hā atiśaya gambhīra sāmājika praśna sud'dhā āhē.
